id,stem,category,sub_category,type,options,correct_answer,explanation,rationales,difficulty,references
1534,Which finding indicates effective treatment for increased intracranial pressure (ICP)?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Decreased level of consciousness.""}, {""id"": ""B"", ""text"": ""Widening pulse pressure.""}, {""id"": ""C"", ""text"": ""Improved Glasgow Coma Scale (GCS) score.""}, {""id"": ""D"", ""text"": ""Irregular respiratory pattern.""}]","""C""","An improved GCS score indicates improved neurological function, suggesting effective treatment for increased ICP.","{""A"": ""An improved GCS score indicates improved neurological function, suggesting effective treatment for increased ICP."", ""B"": ""An improved GCS score indicates improved neurological function, suggesting effective treatment for increased ICP."", ""C"": ""An improved GCS score indicates improved neurological function, suggesting effective treatment for increased ICP."", ""D"": ""An improved GCS score indicates improved neurological function, suggesting effective treatment for increased ICP.""}",3,
1515,Which assessments are crucial for an elderly patient admitted for dehydration?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Skin turgor""}, {""id"": ""B"", ""text"": ""Blood pressure""}, {""id"": ""C"", ""text"": ""Mental status""}, {""id"": ""D"", ""text"": ""Urine output""}, {""id"": ""E"", ""text"": ""Heart rate""}, {""id"": ""F"", ""text"": ""Weight""}]","[""A"", ""B"", ""C"", ""D"", ""F""]","Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments.","{""A"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments."", ""B"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments."", ""C"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments."", ""D"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments."", ""E"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments."", ""F"": ""Dehydration in elderly patients can present subtly.  Skin turgor assesses hydration status.  Blood pressure can be affected by fluid volume.  Mental status changes can be an early sign.  Urine output reflects fluid balance.  Weight changes indicate fluid loss or gain.  Heart rate may increase due to dehydration, but it is less sensitive than the other assessments.""}",2,
1516,Which action best demonstrates the nurse's commitment to community health promotion?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administering influenza vaccines at a local clinic.""}, {""id"": ""B"", ""text"": ""Providing individual counseling to a patient with diabetes.""}, {""id"": ""C"", ""text"": ""Teaching a group of parents about childhood immunizations.""}, {""id"": ""D"", ""text"": ""Making a home visit to a patient recovering from surgery.""}]","""C""",Teaching a group promotes health to the community as a whole.  The other options address individual needs.,"{""A"": ""Teaching a group promotes health to the community as a whole.  The other options address individual needs."", ""B"": ""Teaching a group promotes health to the community as a whole.  The other options address individual needs."", ""C"": ""Teaching a group promotes health to the community as a whole.  The other options address individual needs."", ""D"": ""Teaching a group promotes health to the community as a whole.  The other options address individual needs.""}",1,
1517,A postpartum patient reports heavy vaginal bleeding and a sudden drop in blood pressure.  What is the nurse's immediate priority?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Assess the fundus for firmness and position.""}, {""id"": ""B"", ""text"": ""Increase the intravenous fluid rate.""}, {""id"": ""C"", ""text"": ""Notify the physician immediately.""}, {""id"": ""D"", ""text"": ""Administer oxygen via face mask.""}]","""C""","This suggests postpartum hemorrhage, a life-threatening emergency requiring immediate medical intervention.  While the other actions are appropriate parts of management, notifying the physician immediately is the priority.","{""A"": ""This suggests postpartum hemorrhage, a life-threatening emergency requiring immediate medical intervention.  While the other actions are appropriate parts of management, notifying the physician immediately is the priority."", ""B"": ""This suggests postpartum hemorrhage, a life-threatening emergency requiring immediate medical intervention.  While the other actions are appropriate parts of management, notifying the physician immediately is the priority."", ""C"": ""This suggests postpartum hemorrhage, a life-threatening emergency requiring immediate medical intervention.  While the other actions are appropriate parts of management, notifying the physician immediately is the priority."", ""D"": ""This suggests postpartum hemorrhage, a life-threatening emergency requiring immediate medical intervention.  While the other actions are appropriate parts of management, notifying the physician immediately is the priority.""}",3,
1518,Which precautions are necessary when caring for a patient with Clostridium difficile (C. diff)?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Contact precautions""}, {""id"": ""B"", ""text"": ""Droplet precautions""}, {""id"": ""C"", ""text"": ""Airborne precautions""}, {""id"": ""D"", ""text"": ""Use of soap and water for hand hygiene""}, {""id"": ""E"", ""text"": ""Use of alcohol-based hand rub""}, {""id"": ""F"", ""text"": ""Gown and gloves""}]","[""A"", ""D"", ""F""]","C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions.","{""A"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions."", ""B"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions."", ""C"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions."", ""D"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions."", ""E"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions."", ""F"": ""C. difficile is spread through contact with spores.  Contact precautions are essential.  Soap and water are necessary to remove the spores, alcohol-based hand rubs are not effective.  Gown and gloves are part of contact precautions.""}",2,
1519,A patient with a traumatic brain injury (TBI) has a Glasgow Coma Scale (GCS) score of 8.  What is the nurse's priority action?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Assess the patient's pupils.""}, {""id"": ""B"", ""text"": ""Monitor the patient's intracranial pressure (ICP).""}, {""id"": ""C"", ""text"": ""Prepare for intubation and mechanical ventilation.""}, {""id"": ""D"", ""text"": ""Administer pain medication.""}]","""C""","A GCS score of 8 indicates severe impairment of consciousness.  The patient is likely to require airway support to maintain adequate ventilation and oxygenation.  While the other actions are important, securing the airway is the immediate priority.","{""A"": ""A GCS score of 8 indicates severe impairment of consciousness.  The patient is likely to require airway support to maintain adequate ventilation and oxygenation.  While the other actions are important, securing the airway is the immediate priority."", ""B"": ""A GCS score of 8 indicates severe impairment of consciousness.  The patient is likely to require airway support to maintain adequate ventilation and oxygenation.  While the other actions are important, securing the airway is the immediate priority."", ""C"": ""A GCS score of 8 indicates severe impairment of consciousness.  The patient is likely to require airway support to maintain adequate ventilation and oxygenation.  While the other actions are important, securing the airway is the immediate priority."", ""D"": ""A GCS score of 8 indicates severe impairment of consciousness.  The patient is likely to require airway support to maintain adequate ventilation and oxygenation.  While the other actions are important, securing the airway is the immediate priority.""}",3,
1520,"For a client with Diabetic Ketoacidosis (DKA), which assessment finding indicates effective treatment?",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Decreased blood glucose level.""}, {""id"": ""B"", ""text"": ""Increased urine output.""}, {""id"": ""C"", ""text"": ""Decreased serum potassium level.""}, {""id"": ""D"", ""text"": ""Absence of Kussmaul respirations.""}]","""A""","The primary goal of DKA treatment is to correct hyperglycemia.  A decrease in blood glucose indicates effective treatment.  While increased urine output and decreased Kussmaul respirations are positive signs, they are secondary to the correction of hyperglycemia.  Decreased serum potassium is a concern due to potassium shifting from cells during treatment.","{""A"": ""The primary goal of DKA treatment is to correct hyperglycemia.  A decrease in blood glucose indicates effective treatment.  While increased urine output and decreased Kussmaul respirations are positive signs, they are secondary to the correction of hyperglycemia.  Decreased serum potassium is a concern due to potassium shifting from cells during treatment."", ""B"": ""The primary goal of DKA treatment is to correct hyperglycemia.  A decrease in blood glucose indicates effective treatment.  While increased urine output and decreased Kussmaul respirations are positive signs, they are secondary to the correction of hyperglycemia.  Decreased serum potassium is a concern due to potassium shifting from cells during treatment."", ""C"": ""The primary goal of DKA treatment is to correct hyperglycemia.  A decrease in blood glucose indicates effective treatment.  While increased urine output and decreased Kussmaul respirations are positive signs, they are secondary to the correction of hyperglycemia.  Decreased serum potassium is a concern due to potassium shifting from cells during treatment."", ""D"": ""The primary goal of DKA treatment is to correct hyperglycemia.  A decrease in blood glucose indicates effective treatment.  While increased urine output and decreased Kussmaul respirations are positive signs, they are secondary to the correction of hyperglycemia.  Decreased serum potassium is a concern due to potassium shifting from cells during treatment.""}",2,
1521,The nurse manager needs to delegate tasks effectively.  Which task is appropriate to delegate to a licensed practical nurse (LPN)?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administering intravenous medications.""}, {""id"": ""B"", ""text"": ""Changing a central line dressing.""}, {""id"": ""C"", ""text"": ""Assessing a patient's neurological status post-stroke.""}, {""id"": ""D"", ""text"": ""Monitoring a patient's intake and output.""}]","""D""","Monitoring I&O is within the scope of practice for an LPN.  Administering IV medications, changing central line dressings and performing a neurological assessment require the skills and judgment of an RN.","{""A"": ""Monitoring I&O is within the scope of practice for an LPN.  Administering IV medications, changing central line dressings and performing a neurological assessment require the skills and judgment of an RN."", ""B"": ""Monitoring I&O is within the scope of practice for an LPN.  Administering IV medications, changing central line dressings and performing a neurological assessment require the skills and judgment of an RN."", ""C"": ""Monitoring I&O is within the scope of practice for an LPN.  Administering IV medications, changing central line dressings and performing a neurological assessment require the skills and judgment of an RN."", ""D"": ""Monitoring I&O is within the scope of practice for an LPN.  Administering IV medications, changing central line dressings and performing a neurological assessment require the skills and judgment of an RN.""}",2,
1522,The nurse just completed a colonoscopy with polypectomy.  Which postoperative assessments are crucial?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Assess for rectal bleeding.""}, {""id"": ""B"", ""text"": ""Monitor vital signs.""}, {""id"": ""C"", ""text"": ""Assess abdominal distention.""}, {""id"": ""D"", ""text"": ""Check bowel sounds.""}, {""id"": ""E"", ""text"": ""Assess for signs of perforation (e.g., abdominal rigidity, fever).""}, {""id"": ""F"", ""text"": ""Monitor for electrolyte imbalances.""}]","[""A"", ""B"", ""C"", ""D"", ""E""]","Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation.","{""A"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation."", ""B"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation."", ""C"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation."", ""D"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation."", ""E"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation."", ""F"": ""Post-polypectomy, bleeding is a major concern.  Vital signs monitor for shock.  Abdominal distention and absent bowel sounds can indicate perforation or bowel obstruction.  Electrolyte imbalances can result from fluid loss related to bleeding or bowel perforation.""}",3,
1523,A patient receiving chemotherapy reports mouth sores. What is the appropriate nursing intervention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Encourage frequent mouth rinsing with an alcohol-based mouthwash.""}, {""id"": ""B"", ""text"": ""Provide the patient with hard candies to suck on.""}, {""id"": ""C"", ""text"": ""Encourage frequent mouth rinsing with saline solution.""}, {""id"": ""D"", ""text"": ""Offer the patient acidic juices.""}]","""C""",Saline rinses help clean and soothe the mouth.  Alcohol-based mouthwashes are drying and irritating.  Hard candies and acidic juices can worsen the sores.,"{""A"": ""Saline rinses help clean and soothe the mouth.  Alcohol-based mouthwashes are drying and irritating.  Hard candies and acidic juices can worsen the sores."", ""B"": ""Saline rinses help clean and soothe the mouth.  Alcohol-based mouthwashes are drying and irritating.  Hard candies and acidic juices can worsen the sores."", ""C"": ""Saline rinses help clean and soothe the mouth.  Alcohol-based mouthwashes are drying and irritating.  Hard candies and acidic juices can worsen the sores."", ""D"": ""Saline rinses help clean and soothe the mouth.  Alcohol-based mouthwashes are drying and irritating.  Hard candies and acidic juices can worsen the sores.""}",1,
1524,A patient with pneumonia is exhibiting signs of respiratory distress. Which assessment finding requires immediate attention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Increased respiratory rate.""}, {""id"": ""B"", ""text"": ""Use of accessory muscles.""}, {""id"": ""C"", ""text"": ""Productive cough with purulent sputum.""}, {""id"": ""D"", ""text"": ""Oxygen saturation of 88% on room air.""}]","""D""","An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition that requires immediate intervention.","{""A"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition that requires immediate intervention."", ""B"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition that requires immediate intervention."", ""C"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition that requires immediate intervention."", ""D"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition that requires immediate intervention.""}",2,
1525,A patient is receiving both digoxin and spironolactone. What should the nurse monitor closely?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Blood glucose levels.""}, {""id"": ""B"", ""text"": ""Potassium levels.""}, {""id"": ""C"", ""text"": ""Sodium levels.""}, {""id"": ""D"", ""text"": ""Calcium levels.""}]","""B""","Spironolactone is a potassium-sparing diuretic, and digoxin toxicity is exacerbated by hyperkalemia.  Therefore, close monitoring of potassium levels is crucial.","{""A"": ""Spironolactone is a potassium-sparing diuretic, and digoxin toxicity is exacerbated by hyperkalemia.  Therefore, close monitoring of potassium levels is crucial."", ""B"": ""Spironolactone is a potassium-sparing diuretic, and digoxin toxicity is exacerbated by hyperkalemia.  Therefore, close monitoring of potassium levels is crucial."", ""C"": ""Spironolactone is a potassium-sparing diuretic, and digoxin toxicity is exacerbated by hyperkalemia.  Therefore, close monitoring of potassium levels is crucial."", ""D"": ""Spironolactone is a potassium-sparing diuretic, and digoxin toxicity is exacerbated by hyperkalemia.  Therefore, close monitoring of potassium levels is crucial.""}",3,
1526,A patient with acute pancreatitis is experiencing severe abdominal pain.  Which nursing interventions are appropriate?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Place the patient in a semi-Fowler's position.""}, {""id"": ""B"", ""text"": ""Administer analgesics as prescribed.""}, {""id"": ""C"", ""text"": ""Encourage ambulation.""}, {""id"": ""D"", ""text"": ""Monitor for signs of hypocalcemia.""}, {""id"": ""E"", ""text"": ""Restrict oral intake.""}, {""id"": ""F"", ""text"": ""Provide frequent mouth care.""}]","[""A"", ""B"", ""D"", ""E"", ""F""]",Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain.,"{""A"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain."", ""B"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain."", ""C"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain."", ""D"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain."", ""E"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain."", ""F"": ""Semi-Fowler's position helps reduce pain.  Analgesics manage pain.  Hypocalcemia is a complication of pancreatitis.  NPO status reduces pancreatic stimulation.  Mouth care addresses dry mouth from NPO status. Ambulation is contraindicated due to pain.""}",2,
1527,A nurse observes a colleague consistently failing to follow infection control protocols. What is the most appropriate action?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Report the colleague to the supervisor immediately.""}, {""id"": ""B"", ""text"": ""Talk to the colleague privately and offer guidance.""}, {""id"": ""C"", ""text"": ""Document the observations and inform the unit manager.""}, {""id"": ""D"", ""text"": ""Ignore the behavior; it's not the nurse's responsibility.""}]","""C""",Documenting observations and informing the unit manager is the appropriate first step.  Direct confrontation might be ineffective and could damage the working relationship.  Ignoring the behavior is unsafe and unprofessional.  Reporting immediately to the supervisor is premature without prior attempt at internal resolution.,"{""A"": ""Documenting observations and informing the unit manager is the appropriate first step.  Direct confrontation might be ineffective and could damage the working relationship.  Ignoring the behavior is unsafe and unprofessional.  Reporting immediately to the supervisor is premature without prior attempt at internal resolution."", ""B"": ""Documenting observations and informing the unit manager is the appropriate first step.  Direct confrontation might be ineffective and could damage the working relationship.  Ignoring the behavior is unsafe and unprofessional.  Reporting immediately to the supervisor is premature without prior attempt at internal resolution."", ""C"": ""Documenting observations and informing the unit manager is the appropriate first step.  Direct confrontation might be ineffective and could damage the working relationship.  Ignoring the behavior is unsafe and unprofessional.  Reporting immediately to the supervisor is premature without prior attempt at internal resolution."", ""D"": ""Documenting observations and informing the unit manager is the appropriate first step.  Direct confrontation might be ineffective and could damage the working relationship.  Ignoring the behavior is unsafe and unprofessional.  Reporting immediately to the supervisor is premature without prior attempt at internal resolution.""}",3,
1528,A 6-month-old infant presents with dehydration.  Which sign is the most concerning?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Sunken fontanelles.""}, {""id"": ""B"", ""text"": ""Decreased urine output.""}, {""id"": ""C"", ""text"": ""Dry mucous membranes.""}, {""id"": ""D"", ""text"": ""Absent tears when crying.""}]","""A""",Sunken fontanelles indicate severe dehydration and require immediate intervention.,"{""A"": ""Sunken fontanelles indicate severe dehydration and require immediate intervention."", ""B"": ""Sunken fontanelles indicate severe dehydration and require immediate intervention."", ""C"": ""Sunken fontanelles indicate severe dehydration and require immediate intervention."", ""D"": ""Sunken fontanelles indicate severe dehydration and require immediate intervention.""}",2,
1529,Which lab value is most concerning for a patient with chronic kidney disease (CKD)?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Elevated blood urea nitrogen (BUN).""}, {""id"": ""B"", ""text"": ""Elevated creatinine.""}, {""id"": ""C"", ""text"": ""Decreased urine output.""}, {""id"": ""D"", ""text"": ""Elevated potassium.""}]","""D""",Hyperkalemia is a serious complication of CKD that can lead to cardiac arrhythmias.,"{""A"": ""Hyperkalemia is a serious complication of CKD that can lead to cardiac arrhythmias."", ""B"": ""Hyperkalemia is a serious complication of CKD that can lead to cardiac arrhythmias."", ""C"": ""Hyperkalemia is a serious complication of CKD that can lead to cardiac arrhythmias."", ""D"": ""Hyperkalemia is a serious complication of CKD that can lead to cardiac arrhythmias.""}",1,
1530,A pregnant woman at 36 weeks gestation presents with vaginal bleeding and abdominal pain. Which assessments are priorities?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Assess fetal heart rate.""}, {""id"": ""B"", ""text"": ""Assess for uterine tenderness.""}, {""id"": ""C"", ""text"": ""Assess amount and color of vaginal bleeding.""}, {""id"": ""D"", ""text"": ""Assess maternal vital signs.""}, {""id"": ""E"", ""text"": ""Assess for cervical dilation and effacement.""}, {""id"": ""F"", ""text"": ""Assess fetal position and presentation.""}]","[""A"", ""B"", ""C"", ""D"", ""E""]",This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management.,"{""A"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management."", ""B"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management."", ""C"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management."", ""D"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management."", ""E"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management."", ""F"": ""This suggests potential placental abruption or other obstetric emergency.  All assessments are crucial to determine the severity and appropriate management.""}",3,
1531,A patient with schizophrenia is experiencing auditory hallucinations.  What is a therapeutic nursing intervention?,psychosocial-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Tell the patient the voices are not real.""}, {""id"": ""B"", ""text"": ""Ask the patient to describe the voices.""}, {""id"": ""C"", ""text"": ""Ignore the patient's statements about the voices.""}, {""id"": ""D"", ""text"": ""Administer an antipsychotic medication immediately.""}]","""B""",Understanding the content of the hallucinations helps the nurse assess the patient's needs and develop appropriate interventions.  Directly contradicting the patient is unhelpful.  Ignoring the patient invalidates their experience.  Medication is important but not the immediate priority over assessment and therapeutic communication.,"{""A"": ""Understanding the content of the hallucinations helps the nurse assess the patient's needs and develop appropriate interventions.  Directly contradicting the patient is unhelpful.  Ignoring the patient invalidates their experience.  Medication is important but not the immediate priority over assessment and therapeutic communication."", ""B"": ""Understanding the content of the hallucinations helps the nurse assess the patient's needs and develop appropriate interventions.  Directly contradicting the patient is unhelpful.  Ignoring the patient invalidates their experience.  Medication is important but not the immediate priority over assessment and therapeutic communication."", ""C"": ""Understanding the content of the hallucinations helps the nurse assess the patient's needs and develop appropriate interventions.  Directly contradicting the patient is unhelpful.  Ignoring the patient invalidates their experience.  Medication is important but not the immediate priority over assessment and therapeutic communication."", ""D"": ""Understanding the content of the hallucinations helps the nurse assess the patient's needs and develop appropriate interventions.  Directly contradicting the patient is unhelpful.  Ignoring the patient invalidates their experience.  Medication is important but not the immediate priority over assessment and therapeutic communication.""}",2,
1532,A patient with heart failure is experiencing shortness of breath and edema.  Which medication should the nurse anticipate administering?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Digoxin.""}, {""id"": ""B"", ""text"": ""Furosemide.""}, {""id"": ""C"", ""text"": ""Nitroglycerin.""}, {""id"": ""D"", ""text"": ""Morphine sulfate.""}]","""B""","Furosemide is a loop diuretic that reduces fluid volume, relieving symptoms of heart failure.  Digoxin improves contractility, nitroglycerin dilates blood vessels, and morphine reduces preload and afterload.  However, for immediate relief of shortness of breath and edema, a diuretic is the most effective.","{""A"": ""Furosemide is a loop diuretic that reduces fluid volume, relieving symptoms of heart failure.  Digoxin improves contractility, nitroglycerin dilates blood vessels, and morphine reduces preload and afterload.  However, for immediate relief of shortness of breath and edema, a diuretic is the most effective."", ""B"": ""Furosemide is a loop diuretic that reduces fluid volume, relieving symptoms of heart failure.  Digoxin improves contractility, nitroglycerin dilates blood vessels, and morphine reduces preload and afterload.  However, for immediate relief of shortness of breath and edema, a diuretic is the most effective."", ""C"": ""Furosemide is a loop diuretic that reduces fluid volume, relieving symptoms of heart failure.  Digoxin improves contractility, nitroglycerin dilates blood vessels, and morphine reduces preload and afterload.  However, for immediate relief of shortness of breath and edema, a diuretic is the most effective."", ""D"": ""Furosemide is a loop diuretic that reduces fluid volume, relieving symptoms of heart failure.  Digoxin improves contractility, nitroglycerin dilates blood vessels, and morphine reduces preload and afterload.  However, for immediate relief of shortness of breath and edema, a diuretic is the most effective.""}",3,
1537,"Following a cardiac catheterization, a patient reports severe chest pain.  Which action should the nurse take FIRST?",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer oxygen via nasal cannula.""}, {""id"": ""B"", ""text"": ""Assess the patient's vital signs and catheter insertion site.""}, {""id"": ""C"", ""text"": ""Notify the physician immediately.""}, {""id"": ""D"", ""text"": ""Prepare the patient for a repeat cardiac catheterization.""}, {""id"": ""E"", ""text"": ""Administer prescribed morphine sulfate.""}]","""B""","Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action.","{""A"": ""Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action."", ""B"": ""Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action."", ""C"": ""Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action."", ""D"": ""Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action."", ""E"": ""Assessing the patient's vital signs and the catheter insertion site is the priority action.  Severe chest pain post-cardiac catheterization could indicate several serious complications such as bleeding, hematoma formation, or vessel perforation.  A quick assessment provides crucial information before other interventions are initiated.  While administering oxygen, notifying the physician, and potentially administering morphine may be necessary later, a comprehensive assessment directs the next steps in care.  A repeat cardiac catheterization may or may not be necessary, and is not the first action.""}",2,
